Title, Alternate Title, Year, MOvie or TV, qedcat page, IMDB number, Math stars, Comments
"""Super Mario Bros.""",,1993,MO,,0108255,2,"""A lizard-man exits an evolution machine. He promptly, and incorrectly, declares that the square root of 26 481 is 191."""
"""Supernova""",,2000,MO,supernova.html,0134983,3,"""The crew of a spaceship come across a bomb made from higher-dimensional matter. Very nice graphics (correct up to a certain point),  which show how to build 2-D projections of higher-dimensional cubes."""
"""Suspect X""","""Y&ocirc;gisha X No Kenshin""",2008,MO,,1160629,4,"""A terrific battle of wits between a physicist-detective and a mathematician-suspect.'But his specialty is maths, not homicide.' 'Yes, but homicide would prove an easier challenge.'Lots of maths and mathematical metaphors. A stunning scene in a prison cell involvingthe four color theorem. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clips on Oliver Knill's page.</a>"""
"""Suspicion""",,1941,MO,,0034248,2,"""Calculationthat  winning a 200 pounds bet at 10:1 is 2000 pounds."""
"""Swimming With Sharks""",,1994,MO,,0114594,1,"""Passing reference to the antihero playing a zero sum game."""
"""Swing Girls""",,2004,MO,,0435434,2,"""It turns out that Ozawa, the straight-laced and lifeless maths teacher, is crazy aboutjazz (and an awful saxophonist). One maths scene, calculating areas cut offby straight lines."""
"""Taken 2""",,2012,MO,,1397280,2,"""A pretty cool but bloopered scene where Liam Neeson guides his daughter to locate where he is being held prisoner, by getting her to draw two circles and to locate their intersection points. They confuse the radii with the circumference and diameter of the circle, and the daughter would have needed Pythagoras's theorem to make her  measurements even remotely accurate."""
"""Team America: World Police""",,2004,MO,,0372588,3,"""A very funny running joke, beginning with a terrorist plot that will be 'Nine eleven times a hundred'. 'Jesus, that's...' 'Yes. Ninety-one thousand one hundred.' <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Teen Patti""",,2010,MO,,1183917,4,"""A weird Bollywood version of <i>21</i>, with a bit of Persi Diaconis thrown in.Professor Subramaniam has some theoryof randomness, and he and his students apply it to win at Teen Patti (basically three-card poker). The professor gives an awful and incorrect explanation of the Monty HallProblem (the door to be opened is chosen randomly). Ben Kinglsey plays a Cambridgeprofessor of applied mathematics, who presents Subramaniam with the Isaac Newton Awardfor Applied Mathematics.Kingsley also gets the best line: 'Gambling is our way of telling theuniverse that we're a match for it.' The credits roll to a truly crazy 'Life is a Game' music video. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page.</a>"""
"""Teresa's Tattoo""",,1994,MO,teresa.html,0111397,3,"""Teresa is doing a PhD in applied maths and does not have much luck in communicating to others what she does. Some funny scenes."""
"""The Thin Man""",,1934,MO,adequate.html,0025878,2,"""Some funny dialogue about the Mendelian law of inheritance guaranteeing that only 1 out of 4 of Dorothy's children will be a murderer."""
"""That's Adequate""",,1989,MO,adequate.html,0098464,3,"""Crazy scene, featuring Einstein as a young pirate discovering E=mc<sup>2</sup> whilst watching a volcano erupt."""
"""Thirteen Conversations About One Thing""",,2001,MO,13.html,0268690,2,"""maths professor teaching basic laws of motion."""
"""This is Spinal Tap""",,1984,MO,,0088258,3,"""Hilarious scene in which a  rock star explains why it is important to have amplifiers that go up to 11 instead of just 10. Another scene where confusion between feet (') and inches (') results in the building of a miniscule Stonehenge."""
"""Three O'Clock High""",,1987,MO,,0094138,2,"""The school thug is caught cheating on an algebra test. When  quizzedby the principal, it turns out that he knew the answers anyway. A blooper on thequiz, where the instruction for some equations is 'Simplify each expression'.<a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page.</a> <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Thru the Moebius Strip""",,2005,MO,,0267024,3,"""Jack prepares to go  through the Moebius field portal, to find his father SimonWeir, 27.2 light yearsaway. Arthur the robot is asked to simply explain the portal: 'When a three&minus;dimensional cylindrical loopis given a 180 degree twist, it becomes a two&minus;dimensional mathematical oddity knownas a Moebius strip.By twisting two of the existing parameters of space, Professor Weir was able to manipulate the third parameter, which is distance ...' 'You call that simply?'."""
"""Time Machine""",,2002,MO,time_machine.html,0268695,2,"""An absolutely humongous wall covered with blackboards. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Tin Man""",,2007,MO,,0910812,2,"""In the final episode of this miniseries, the scarecrow Glitch ponders his lack of brains: 'You know, when I had a brain,I was twice as scared as I am now with only half a brain. Which means that,if I had no brain at all, I would be four times braver than I was when I wasbrainy.'"""
"""Titanic""",,1997,MO,titanic.html,0120338,1,"""Rose figures out that there are not enough life boats on the Titanic to accommodate everybody. After the Titanic hits the iceberg, Mr. Andrews states that it is a mathematical certainty that the Titanic will sink."""
"""To Sir, with Love""",,1967,MO,to_sir.html,0062376,1,"""Miscellaneous bits and pieces of simple maths in classroom scene."""
"""Tom & Viv""",,1994,MO,tom_and_viv.html,0111454,3,"""Bertrand Russel is one of the characters. Viv, T.S. Elliot's wife, solves a few nice mathematical brainteasers."""
"""Top of the Form""",,1953,MO,,0046444,2,"""'Professor' Fortescue is a racetrack tout, claiming to be 'senior wrangler' of Oxford. He hides out at a boy's school, where a blackboard indicates he teaches (x+1)/(x+2) = (x+1)/x + (x+1)/2."""
"""Torchy Gets Her Man""",,1938,MO,,0030884,3,"""Gahagan has a mathematical scheme for bettingon the horses: 'I make my mind go blank until a number pops into it. Then I multiplythe number by the same number, and the last number of the result is the horseI plunk it on'. He uses his system to pick horse 7 (because 6 x 6 = 37), then 4 (4 x 4 = 14), then 9 (9 x 9  = 99), then 7 (7 x 7 = 47), then 8 (8 x 8 = 68). He wins. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""Torn Curtain""",,1966,MO,torn_curtain.html,0061107,3,"""Hitchcock movie in which Paul Newman plays an American scientist supposedly defecting to the East. Great scene where the mathematical theories are competing. Lots of calculations on blackboards, and the symbol &pi; used as a secret sign."""
"""Travelling Salesman""",,2012,MO,,1801123,4,"""Strange, claustrophobic movie about four mathematicians who have proved P = NP and are discussing the supposed implications. Lots of vague talk about complexity and proof, but no real mathematics except for an occasional blackboard."""
"""Twilight""",,2008,MO,,1099212,2,"""Bella is trying to figure out Edward the vampire:'You gotta give me some answers.''Yes... No...To get to the other side...1.77245...''I don't want to know what the square root of Pi is.''You knew that?'"""
"""The Undercover Man""",,1949,MO,,0042006,1,"""An Al Capone-ish story, trying to capture a gangster by following the bookkeeping. No real mathematics. </a>"""
"""Up in the Air""",,2009,MO,,1193138,2,"""Ryan (George Clooney) calculates for Nataliethe time she loses by checking in luggage. '35 minutes a flight. I travel 270 days a year. That's 157 hours. That makes 7 days'. Later, Natalia quizzes Ryan  about his aim to accumulate 10 000 000 flier miles. 'Isn't ten million just a number?' 'Pi is just a number'. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page.</a>"""
"""The Verdict""",,1982,MO,,0084855,1,"""Paul Newman plays a lawyer who is in line to receive one third of the settlement of a law suit. He notices that the offered amount is$210,000, very conveniently divisible by 3."""
"""V&eacute;ronique et Son Cancre""","""Veronique and Her Dunce""",1958,MO,,0209470,3,"""In this Rohmer short, Veronique tutors a supposed dunce.She teaches him about division by fractions, but his questioning makes clear to her that she alsodoesn't really understand what's going on."""
"""Village of the Damned""",,1960,MO,,0054443,1,"""Creepy blond children learn very quickly, including a scene with some relativity equations."""
"""The Virgin Suicides""",,1999,MO,virgin_suicides.html,0159097,3,"""Teacher in action teaching Venn diagrams. One of the blackboards is adorned with a messed-up decimal expansion of &pi;. In a another scene we see a blackboard with problems relating to finding the derivative of a quadratic function."""
"""Voyage to the Bottom of the Sea""",,1961,MO,bottom_sea.html,0055608,1,"""Minor references to maths in a scientific dispute about how to save the Earth."""
"""Voyage to the End of the Universe""","""Ikarie XB 1""",1963,MO,,0122111,2,"""Anthony is a quirky old mathematician on a space ship. He doesn't seem to doany maths, though at one point 'the Pythagorean Proposition' is used tomake contact with an unknown space ship."""
"""Voyage to the Planet of Prehistoric Women""",,1968,MO,prehistoric_women.html,0063790,2,"""Space expedition includes a mathematician. Various bits of mathematical rambling and smalltalk."""
"""Voyage to the Prehistoric Planet""",,1965,MO,,0059887,2,"""Earlier version of the previous movie."""
"""A Walk to Remember""",,2002,MO,,0281358,3,"""'Which of these are similar triangles? This one or that one, huh? Whaddya think?''Man, I think this is bullshit!' ' ... That makes two of us.' Later, we seeisosceles and similar triangles on a basketball court. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""Wall Street""",,1987,MO,wall_street.html,0094291,1,"""One-liner: 'It's a zero-sum game, somebody wins and somebody loses'."""
"""Waterboys""",,2001,MO,,0299213,3,"""Some schoolboys take up synchronized  swimming. One is a maths wizwho uses geometric diagrams to plan one of their routines. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>."""
"""What the #$*! Do &omega;&Sigma; K""","""&pi;""",2004,MO,,0399877,2,"""Flaky, pseudoscientific nonsense, with maths stuck in here and there."""
"""Willy Wonka & the Chocolate Factory""",,1971,MO,willie_wonka.html,0067992,3,"""Some funny scenes involving percentages. One has  a teacher uses Wonka Bars to teach percentages. Another has a total of 105%. A computer is programmed to find golden tickets based on 'computonian law of probability'."""
"""Wish Upon a Star""",,1996,MO,wish_upon.html,0118178,3,"""Several funny classroom scenes. One 'worked' problem: A cleaning solution is made up of three chemicals. A, B, and C (Haley writes A, B, and C on the blackboard) So far so good.  There are equal amounts of A and B and four times as much C as there is A. What percentage of the bottle is full of C?"""
"""Witness""",,1985,MO,,0090329,2,"""Harrison Ford sings along to Sam Cooke's famous song: 'Don't know much geography, Don't know much trigonometry,Don't know much about algebraDon't know what a slide rule is for.But I know that one and one is two,And if this one could be with youWhat a wonderful this would be'"""
"""Wittgenstein""",,1993,MO,,0108583,2,"""Bertrand Russell appears. No explicit maths or logic, but we do see Russell at the barber, a sly reference to the liar paradox."""
"""The Wizard of Oz""",,1939,MO,wizard.html,0032138,3,"""The scarecrow proves to himself (but nobody else) that he's got a brain by trying to recite Pythagoras's theorem: 'The sum of the square roots of any two sides of an isosceles triangle is equal to the square root of the remaining side.' <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""The World is Not Enough""",,1999,MO,,0143145,3,"""A bomb is travelling through at 70 miles per hour, and is 106 miles fromits target. James Bond immediately pronounces that they have 78 minutes. In fact,they have 91 minutes."""
"""Yankee Doodle Dandy""",,1942,MO,,0035575,2,"""Sweet 1-liner about the breaking up of a vaudeville group: 1 from 4 leaving nothing."""
"""Yes, Sir, Mr. Bones""",,1951,MO,,0044222,3,"""Ches Davis and Flournoy Miller perform a version of the 7 x 13 = 28 sketch.  Exaggerated and weird, due to  the blacks in blackface aspect,  but still very good."""
"""Yo Hice A Roque III""",,1980,MO,,0081790,3,"""Hilarious scene, arguing about whether a boxer needs to lose weight for the fight,and confusing grams, kilograms and pounds."""
"""The Young Animals""","""Born Wild""",1968,MO,,0062754,1,"""A Mexican versus Gringo movie, featuring a bit of arithmetic and a  racist maths teacher."""
"""Young Einstein""",,1988,MO,,0096486,3,"""Quirky comedy where Albert Einstein grows up on an apple farm in Tasmania and rediscovers Newton's theories. He later moves to a great city, falls in love with Marie Curie and discovers everything else that the (real) Albert Einstein is famous for."""
"""Your Name Poisons My Dreams""","""Tu Nombre Envenena Mis Sue&ntilde;o""",1996,MO,,0117985,2,"""A bleak political film, with one of the characters a mathematics teacher. At theend of the movie, he ponders at a funeral: 'We walked together over a M&ouml;bius strip and we passed to the other side, to the emptiness, as in mathematics.'"""
"""You're the One""","""Una Historia de Entonces""",2000,MO,,0266079,3,"""In one scene a boy is trying to memorize the following facts about polyhedra by reading them out loud a number of times  (with slight variations): 'Bodies which have plane faces are called polyhedrons.  The polyhedrons which have equal faces and angles are called regular, and there are five of them: The tetrahedron, the octahedron, the icosahedron, the hexahedron or cube, and the dodecahedron.  This is really hard. It's easy to remember the tetrahedron. Because of 'tit' '."""
"""Yours, Mine and Ours""",,2005,MO,,0443295,2,"""A man with 8 children marries a woman with 10 children: '<i>Party of Five</i>, times three, plus <i>My Three Sons</i>'."""
"""Zero""",,2010,MO,,1549172,2,"""A preachy and very creepy animated short, with numbers symbolising the characters' status in society."""
"""Zero Bridge""",,2012,MO,,1270494,1,"""A bleak story set in Kashmir. A teenager has a young woman help him with his homework. No actual mathematics."""
"""Zero Theorem""",,2013,MO,,2333804,3,"""A really weird futuristic Terry Gilliam movie centered on Qohen, an  entity cruncher in the ontological research division. Early on, he  is working on the transfinite paradox. Later, Qohen is working on the zero theorem, which would prove that life is meaningless. No real mathematics in the plot, but lots of integrals flying around in the background."""
"""Zootopia""",,2016,MO,,2948356,2,"""'Dumb bunny' Hopps turns out to be good at multiplication, and Mayor Bellwether makes a blooper with her ratios."""
